,carat,cut,color,clarity,depth,table,price,x,y,z
21523,1.54,Ideal,H,SI2,60.9,56.0,9624,7.45,7.43,4.53
1581,0.76,Ideal,D,SI1,61.2,57.0,3007,5.88,5.91,3.61
17249,1.01,Very Good,D,VS2,60.4,58.0,6905,6.47,6.57,3.94
11094,1.0,Fair,G,VVS2,65.5,54.0,4928,6.3,6.22,4.1
26373,2.02,Very Good,H,SI2,59.9,55.0,15851,8.17,8.28,4.93
33502,0.32,Very Good,F,VS2,63.2,58.0,828,4.35,4.32,2.74
31186,0.32,Ideal,D,SI1,62.0,57.0,756,4.4,4.37,2.72
25768,2.43,Premium,I,SI2,62.2,60.0,14727,8.59,8.53,5.33
4289,0.92,Very Good,E,SI1,63.3,57.0,3586,6.22,6.17,3.92
27389,0.41,Ideal,J,VS1,62.7,57.0,647,4.72,4.75,2.97
35363,0.38,Premium,H,VS2,60.5,59.0,898,4.69,4.66,2.83
25303,1.71,Very Good,E,SI1,63.4,56.0,13970,7.58,7.5,4.78
2848,0.9,Very Good,I,SI1,61.4,55.0,3271,6.19,6.28,3.83
38005,0.43,Very Good,F,VS1,63.4,57.0,1008,4.8,4.76,3.03
50589,0.7,Very Good,G,VS2,58.2,60.0,2282,5.84,5.78,3.38
44714,0.51,Ideal,E,VS2,62.0,54.0,1614,5.16,5.13,3.19
29065,0.4,Good,E,SI1,63.5,58.0,687,4.65,4.67,2.96
1263,0.9,Premium,I,SI1,60.9,56.0,2947,6.26,6.21,3.8
51350,0.78,Good,E,SI2,63.7,54.0,2363,5.82,5.77,3.69
9291,1.12,Premium,F,SI2,60.5,59.0,4570,6.73,6.79,4.09
35013,0.4,Premium,E,SI1,60.8,62.0,882,4.76,4.72,2.88
36175,0.51,Very Good,J,SI1,62.6,59.0,930,5.06,5.1,3.18
801,1.01,Fair,E,SI2,67.6,57.0,2862,6.21,6.11,4.18
45576,0.52,Ideal,E,VS2,61.7,55.0,1689,5.16,5.21,3.2
37775,0.41,Ideal,E,VS2,61.8,56.0,999,4.78,4.74,2.94
5436,1.05,Premium,G,SI2,60.1,60.0,3828,6.58,6.66,3.98
26384,2.02,Very Good,G,SI2,62.8,55.0,15877,8.06,8.11,5.08
53645,0.9,Very Good,I,SI2,60.9,63.0,2704,6.21,6.13,3.76
50339,0.64,Premium,D,VS2,60.9,59.0,2243,5.6,5.63,3.42
13940,1.22,Premium,I,SI1,62.1,58.0,5671,6.89,6.8,4.25
17663,1.32,Very Good,H,SI1,62.4,58.0,7119,7.02,7.09,4.4
26007,2.2,Premium,I,SI2,63.0,59.0,15238,8.22,8.19,5.17
14820,1.0,Ideal,G,VS2,62.6,57.0,5967,6.47,6.4,4.03
45016,0.54,Premium,H,VS1,61.9,56.0,1637,5.29,5.24,3.26
27014,2.25,Ideal,I,SI2,62.4,57.0,17143,8.39,8.32,5.21
9139,1.13,Very Good,H,SI2,62.5,62.0,4537,6.59,6.66,4.14
42577,0.62,Premium,F,SI2,61.7,60.0,1329,5.48,5.45,3.37
2537,0.9,Fair,D,SI2,64.7,59.0,3205,6.09,5.99,3.91
38060,0.38,Ideal,D,VS2,61.8,56.0,1013,4.65,4.67,2.88
36069,0.4,Very Good,D,SI1,63.1,57.0,924,4.73,4.69,2.97
50094,0.61,Premium,D,VS1,62.4,57.0,2207,5.46,5.44,3.4
19919,1.5,Good,J,VS1,64.1,55.0,8467,7.23,7.13,4.6
16466,1.25,Ideal,G,SI1,62.5,54.0,6580,6.88,6.85,4.29
5299,1.01,Fair,E,SI2,60.0,60.0,3801,6.48,6.38,3.86
53888,0.83,Premium,G,SI2,61.6,57.0,2749,6.06,6.02,3.72
22124,1.53,Ideal,H,SI1,62.3,57.0,10153,7.41,7.36,4.6
903,0.71,Ideal,E,VS1,62.4,56.0,2877,5.75,5.7,3.57
24043,0.38,Good,H,SI1,63.3,57.0,633,4.58,4.62,2.91
952,0.74,Ideal,F,SI1,61.2,56.0,2889,5.83,5.87,3.58
3309,0.84,Good,G,VS2,63.6,59.0,3370,5.89,5.94,3.76
558,0.75,Ideal,E,SI1,61.4,57.0,2831,5.82,5.87,3.59
34005,0.42,Premium,H,VS1,61.7,59.0,847,4.76,4.83,2.96
6671,0.94,Premium,E,SI2,62.4,58.0,4098,6.26,6.33,3.93
5982,0.72,Very Good,F,VVS2,59.2,63.0,3952,5.77,5.86,3.44
33906,0.3,Premium,E,VS2,62.4,59.0,844,4.3,4.26,2.67
33178,0.41,Very Good,E,SI2,63.3,56.0,818,4.73,4.69,2.98
42439,0.43,Ideal,D,VS2,61.3,55.0,1314,4.84,4.88,2.98
26107,2.24,Premium,I,SI2,61.9,58.0,15375,8.29,8.36,5.15
4320,0.84,Very Good,G,VS2,61.8,57.0,3596,6.04,6.07,3.74
5261,1.12,Very Good,E,SI2,60.9,63.0,3794,6.59,6.65,4.03
29101,0.34,Premium,I,VS1,61.0,60.0,689,4.51,4.48,2.74
31915,0.3,Premium,G,VS1,62.5,55.0,776,4.32,4.25,2.68
1698,0.7,Ideal,G,VS1,61.4,57.0,3034,5.7,5.73,3.51
10745,1.0,Premium,F,SI1,59.7,60.0,4851,6.48,6.51,3.88
39016,0.43,Ideal,D,VS2,61.8,56.0,1056,4.81,4.83,2.98
9242,1.01,Ideal,H,SI1,62.4,53.0,4559,6.42,6.47,4.02
48744,0.71,Good,D,SI2,56.6,63.0,2015,5.9,5.76,3.3
13532,1.12,Ideal,E,SI2,62.0,57.0,5546,6.61,6.63,4.11
51454,0.72,Ideal,H,VS2,62.8,57.0,2376,5.74,5.7,3.59
457,0.71,Premium,E,SI1,61.8,59.0,2817,5.75,5.7,3.54
46769,0.52,Ideal,D,VS2,61.9,55.0,1802,5.19,5.21,3.22
16729,0.3,Premium,D,VS1,60.2,59.0,610,4.39,4.42,2.65
37494,0.35,Premium,E,VS2,61.6,58.0,984,4.57,4.52,2.8
31268,0.32,Ideal,I,VS2,61.5,56.0,449,4.4,4.41,2.71
8805,1.01,Very Good,I,SI1,64.2,55.0,4475,6.28,6.34,4.05
48516,0.58,Ideal,E,VS2,61.9,57.0,1984,5.37,5.33,3.31
567,0.9,Good,J,SI1,64.3,63.0,2832,6.05,6.01,3.88
18712,0.27,Very Good,F,VVS1,62.0,58.0,620,4.18,4.21,2.6
41469,0.41,Ideal,D,VS1,61.8,57.0,1230,4.8,4.75,2.95
11624,1.01,Very Good,H,VS2,63.5,61.0,5050,6.32,6.24,3.99
2356,1.01,Fair,G,SI2,68.5,63.0,3173,6.08,6.0,4.14
28372,0.38,Ideal,I,SI1,61.5,56.0,668,4.67,4.7,2.88
14592,1.09,Premium,G,VS2,59.9,56.0,5889,6.73,6.59,3.99
10780,1.01,Ideal,F,SI2,62.9,57.0,4858,6.35,6.41,4.01
36915,0.41,Premium,G,VS1,60.7,58.0,961,4.83,4.79,2.92
17739,1.5,Very Good,I,SI1,60.2,63.0,7140,7.38,7.33,4.43
19498,1.23,Ideal,G,VS2,61.5,54.0,8133,6.92,6.89,4.25
44520,0.51,Very Good,F,VS2,62.0,58.0,1601,5.08,5.11,3.16
49819,0.73,Ideal,I,VS1,62.1,54.0,2167,5.77,5.8,3.59
36647,0.43,Very Good,E,SI1,63.1,56.0,948,4.83,4.8,3.04
25716,1.58,Ideal,G,VS1,61.3,57.0,14624,7.48,7.54,4.6
46877,0.53,Ideal,E,VS2,62.7,54.0,1813,5.18,5.15,3.24
50324,0.65,Very Good,F,VS2,64.0,55.3,2241,5.5,5.57,3.54
32191,0.35,Premium,H,VS1,62.6,59.0,788,4.5,4.45,2.8
25537,2.1,Premium,J,VS2,61.3,59.0,14359,8.27,8.21,5.05
13627,1.04,Ideal,H,VS1,62.7,55.0,5577,6.43,6.49,4.05
14088,1.35,Premium,J,SI1,61.1,61.0,5715,7.13,7.1,4.35
10616,1.06,Ideal,H,SI2,62.5,57.1,4829,6.46,6.5,4.05
14933,1.0,Very Good,F,VS2,61.6,56.0,6013,6.42,6.47,3.97
2797,0.7,Very Good,F,VVS1,63.0,60.0,3261,5.59,5.62,3.53
37752,0.38,Premium,F,VS1,60.9,58.0,998,4.71,4.68,2.86
30535,0.39,Good,G,VS2,63.7,53.0,734,4.62,4.67,2.96
51112,0.83,Good,H,SI2,63.9,56.0,2337,5.99,5.93,3.81
13335,0.9,Very Good,F,VVS2,61.0,63.0,5504,6.13,6.09,3.73
47500,0.7,Fair,H,SI1,65.5,57.0,1865,5.59,5.55,3.65
40492,0.42,Premium,F,VVS2,61.7,59.0,1142,4.78,4.82,2.96
20678,1.23,Premium,F,VS2,60.8,59.0,8959,6.9,6.94,4.21
26348,0.32,Ideal,F,VS2,61.2,56.0,645,4.41,4.44,2.71
16324,1.08,Premium,G,VS1,61.5,61.0,6532,6.62,6.55,4.05
30253,0.43,Premium,G,SI1,62.6,59.0,724,4.8,4.82,3.01
24515,1.5,Very Good,G,VVS2,60.9,56.0,12798,7.34,7.37,4.48
40710,0.38,Good,D,VVS1,61.3,61.0,1159,4.68,4.72,2.88
285,0.73,Good,E,SI1,63.2,58.0,2796,5.7,5.76,3.62
8547,1.01,Very Good,H,SI1,61.9,57.0,4432,6.36,6.41,3.95
38874,0.4,Premium,F,VS1,62.5,59.0,1050,4.69,4.66,2.92
21202,1.57,Ideal,J,VVS2,61.4,57.0,9346,7.45,7.5,4.59
13865,1.29,Ideal,J,VS2,60.9,58.0,5646,7.05,7.0,4.28
23716,0.25,Very Good,F,VVS2,62.4,55.0,633,4.03,4.06,2.52
29138,0.34,Ideal,E,VS2,62.5,55.0,692,4.45,4.48,2.79
33231,0.39,Premium,F,SI1,60.1,59.0,823,4.77,4.74,2.86
42843,0.41,Ideal,F,VVS1,61.9,56.0,1356,4.79,4.77,2.96
45129,0.53,Ideal,E,VS2,62.8,55.0,1653,5.21,5.17,3.26
20957,1.25,Premium,G,VS1,61.8,58.0,9173,6.94,6.91,4.28
1234,0.71,Premium,F,VS1,61.1,58.0,2942,5.76,5.72,3.51
38091,0.36,Ideal,E,VS2,62.6,56.0,1013,4.56,4.52,2.84
50936,0.51,Very Good,E,VVS2,61.3,55.0,2320,5.14,5.16,3.16
50123,0.5,Ideal,D,VVS2,60.4,54.0,2211,5.23,5.17,3.14
8119,0.91,Premium,D,SI1,63.0,59.0,4352,6.15,6.11,3.86
33452,0.32,Premium,G,VS1,61.4,58.0,828,4.4,4.36,2.69
6680,1.11,Ideal,J,SI2,62.6,54.0,4101,6.61,6.64,4.15
25519,2.16,Premium,J,SI1,60.5,59.0,14328,8.41,8.35,5.07
21095,1.19,Premium,E,VS1,59.8,58.0,9263,7.01,6.94,4.17
34071,0.35,Ideal,E,VS1,61.9,56.0,851,4.53,4.55,2.81
44503,0.54,Very Good,F,VS1,61.6,59.0,1600,5.26,5.2,3.22
36354,0.34,Ideal,F,VS2,60.7,56.0,938,4.56,4.53,2.76
9750,1.27,Premium,J,SI2,60.4,58.0,4660,7.04,7.0,4.24
47499,0.47,Ideal,H,IF,62.4,57.0,1865,4.97,5.0,3.11
18009,1.22,Premium,H,VS1,58.9,59.0,7283,7.02,6.96,4.12
21623,1.76,Ideal,I,SI2,61.2,55.0,9714,7.79,7.76,4.76
40724,0.53,Very Good,G,SI1,63.4,54.0,1161,5.09,5.13,3.24
39170,0.35,Premium,D,VS2,59.7,58.0,1063,4.61,4.57,2.74
16950,1.5,Good,H,SI2,63.6,60.0,6770,7.3,7.23,4.63
26227,2.04,Premium,G,SI2,60.3,59.0,15651,8.23,8.3,4.98
29032,0.31,Ideal,H,VVS1,62.3,53.0,687,4.35,4.38,2.72
1572,0.55,Premium,D,VVS1,60.3,59.0,3006,5.34,5.3,3.21
52785,0.7,Ideal,G,SI1,61.9,58.0,2567,5.66,5.69,3.51
41752,0.52,Premium,F,SI1,59.5,59.0,1244,5.24,5.31,3.14
30068,0.32,Ideal,G,VS2,60.3,57.0,720,4.46,4.43,2.68
44654,0.29,Very Good,G,VVS1,62.0,58.0,522,4.19,4.23,2.61
17597,1.21,Ideal,I,VVS1,61.6,55.0,7086,6.88,6.8,4.21
16391,1.27,Ideal,F,VS2,62.8,56.0,6543,6.9,6.86,4.32
28789,0.37,Very Good,D,SI1,61.0,62.0,681,4.61,4.64,2.82
13590,1.01,Premium,F,SI1,60.6,58.0,5559,6.54,6.49,3.95
2787,0.76,Ideal,F,VS2,61.0,55.0,3257,5.89,5.92,3.6
46678,0.59,Ideal,E,SI1,62.9,57.0,1789,5.36,5.33,3.36
21910,1.8,Good,I,SI2,63.2,58.0,9979,7.66,7.75,4.87
52903,0.75,Ideal,F,SI2,62.1,55.0,2586,5.83,5.87,3.63
26965,1.07,Ideal,D,IF,60.9,54.0,17042,6.66,6.73,4.08
38877,0.4,Premium,D,VS2,59.1,57.0,1050,4.87,4.81,2.86
34934,0.28,Good,J,VVS2,58.4,60.0,375,4.27,4.33,2.51
1351,0.71,Very Good,E,VS2,62.9,57.0,2964,5.68,5.7,3.58
40251,0.6,Ideal,I,SI2,62.2,54.0,1125,5.4,5.44,3.37
21087,1.05,Ideal,F,VVS2,62.1,54.0,9257,6.55,6.52,4.06
38903,0.33,Ideal,E,VVS1,61.5,56.0,1052,4.49,4.46,2.75
2465,0.71,Ideal,E,VS2,62.0,57.0,3191,5.71,5.74,3.55
5843,1.01,Premium,F,SI1,62.8,59.0,3920,6.4,6.36,4.01
44333,0.33,Premium,I,VS1,61.6,60.0,521,4.42,4.45,2.73
7640,0.9,Very Good,F,VS2,64.2,59.0,4268,6.07,6.11,3.91
2338,0.74,Ideal,F,VS1,62.3,57.0,3170,5.79,5.77,3.6
323,1.04,Premium,G,I1,62.2,58.0,2801,6.46,6.41,4.0
45483,0.51,Ideal,D,VS2,62.4,55.0,1678,5.12,5.14,3.2
42635,0.58,Very Good,H,SI1,63.3,56.0,1332,5.34,5.31,3.37
10118,1.02,Very Good,D,SI2,63.4,59.0,4718,6.41,6.37,4.05
30795,0.41,Ideal,I,VS2,62.0,57.0,742,4.74,4.77,2.95
34701,0.43,Ideal,I,VVS2,62.6,57.0,874,4.79,4.82,3.01
19877,1.13,Ideal,E,VS2,61.4,58.0,8430,6.71,6.74,4.13
13386,0.39,Fair,E,SI1,65.6,60.0,601,4.5,4.56,2.97
2946,1.0,Premium,J,SI2,62.7,58.0,3293,6.32,6.28,3.95
48013,0.56,Good,E,VS2,62.3,63.0,1920,5.22,5.27,3.27
12938,1.15,Premium,G,SI1,63.0,59.0,5384,6.68,6.63,4.19
6775,0.81,Ideal,H,IF,61.6,58.0,4111,5.98,6.01,3.69
14214,1.27,Premium,J,VVS1,60.1,58.0,5761,7.06,6.99,4.22
4314,0.73,Ideal,G,VS2,61.6,56.0,3595,5.8,5.83,3.58
33147,0.31,Ideal,G,VVS1,60.8,56.0,816,4.36,4.39,2.66
2213,0.68,Very Good,G,IF,62.7,56.0,3143,5.56,5.6,3.5
43559,0.51,Good,D,VS2,60.1,65.0,1430,5.14,5.17,3.1
12757,1.2,Very Good,I,VS1,63.1,58.0,5322,6.7,6.62,4.2
37975,0.4,Very Good,H,VS1,63.4,58.0,1007,4.74,4.66,2.98
18849,1.54,Fair,I,SI2,64.6,56.0,7727,7.3,7.26,4.7
1546,0.77,Very Good,E,SI2,60.4,58.0,3002,5.91,5.95,3.58
32920,0.44,Very Good,E,SI1,62.2,60.0,810,4.79,4.86,3.0
4573,0.92,Premium,G,SI2,58.4,58.0,3648,6.4,6.34,3.73
12662,1.01,Premium,E,SI1,59.5,60.0,5301,6.54,6.46,3.87
595,0.82,Fair,F,SI1,64.9,58.0,2838,5.83,5.79,3.77
36923,0.41,Ideal,G,VS1,61.7,57.0,961,4.81,4.78,2.96
41021,0.44,Very Good,F,VVS1,62.1,60.0,1187,4.84,4.92,3.03
41714,0.56,Ideal,D,SI2,62.2,55.0,1243,5.29,5.32,3.3
2723,0.26,Very Good,E,VVS2,61.7,61.0,564,4.08,4.12,2.53
41186,0.39,Ideal,G,IF,61.6,56.0,1201,4.69,4.73,2.9
40530,0.7,Fair,I,I1,68.6,57.0,1147,5.46,5.34,3.71
7562,1.2,Premium,G,SI2,62.6,61.0,4250,6.73,6.68,4.2
25524,2.0,Very Good,H,SI2,61.0,57.0,14340,8.02,8.18,4.94
42471,0.54,Very Good,I,VS2,62.3,56.0,1317,5.17,5.22,3.24
48578,0.54,Ideal,D,VS2,61.1,56.0,1993,5.29,5.25,3.22
22198,1.6,Very Good,I,VS1,62.3,59.0,10238,7.46,7.51,4.66
39652,0.37,Ideal,E,VS1,61.4,55.0,1087,4.62,4.66,2.85
20361,1.09,Ideal,G,VVS2,61.8,56.0,8753,6.58,6.62,4.08
775,0.71,Ideal,G,VS1,61.5,56.0,2859,5.74,5.78,3.54
14115,1.0,Premium,D,SI1,59.2,62.0,5723,6.54,6.49,3.86
30241,0.33,Ideal,E,VS2,61.5,57.0,723,4.41,4.47,2.73
15464,1.2,Very Good,I,VS1,62.6,59.0,6192,6.69,6.73,4.2
20158,1.21,Premium,G,VS1,62.7,58.0,8616,6.76,6.85,4.27
42087,0.42,Ideal,E,VVS2,62.3,55.0,1273,4.81,4.76,2.98
21044,0.31,Good,G,VS1,63.2,56.0,625,4.28,4.29,2.71
22884,1.01,Premium,D,VVS2,62.4,58.0,10927,6.44,6.39,4.0
46679,0.99,Fair,J,I1,73.6,60.0,1789,6.01,5.8,4.35
8244,1.07,Premium,H,VS2,60.6,60.0,4374,6.66,6.63,4.03
5533,0.92,Premium,F,SI2,61.8,58.0,3854,6.19,6.23,3.84
18407,1.04,Very Good,G,VVS2,62.8,54.0,7481,6.39,6.5,4.05
32316,0.3,Premium,G,VVS1,62.6,58.0,789,4.27,4.29,2.68
1784,0.62,Very Good,D,VVS2,58.1,63.0,3050,5.59,5.66,3.27
51669,0.7,Ideal,F,SI2,62.1,57.0,2398,5.65,5.69,3.52
3609,1.0,Premium,G,SI2,60.7,59.0,3427,6.45,6.41,3.9
13887,1.03,Ideal,G,SI1,60.8,57.0,5653,6.52,6.47,3.95
5993,0.71,Ideal,G,VVS1,61.1,57.0,3955,5.76,5.8,3.53
24701,0.3,Ideal,H,VVS1,62.5,53.8,639,4.31,4.33,2.69
36537,0.4,Good,I,VS1,63.8,55.0,945,4.69,4.65,2.98
43218,0.5,Good,E,VS2,64.1,58.0,1397,5.03,5.01,3.22
17724,0.26,Very Good,E,VVS2,62.9,56.0,614,4.07,4.1,2.57
7385,0.33,Very Good,G,VS2,62.1,56.0,579,4.41,4.44,2.75
42537,0.4,Ideal,D,VVS2,62.2,55.0,1323,4.74,4.72,2.94
43360,0.53,Very Good,E,SI1,63.0,55.0,1408,5.14,5.18,3.25
50020,0.7,Very Good,F,SI1,62.3,57.0,2196,5.65,5.69,3.53
32348,0.36,Ideal,E,VS2,61.9,56.0,789,4.55,4.56,2.82
37882,0.48,Premium,E,SI2,62.9,60.0,1005,4.93,4.9,3.09
4161,0.72,Ideal,D,SI1,60.5,56.0,3550,5.79,5.84,3.52
46451,0.51,Very Good,F,VS2,58.6,58.0,1774,5.22,5.29,3.08
43619,0.26,Ideal,G,VS1,62.5,53.0,508,4.1,4.13,2.57
53692,1.0,Good,F,I1,64.2,59.0,2717,6.26,6.3,4.03
30524,0.26,Ideal,F,IF,62.0,56.0,733,4.07,4.1,2.53
33820,0.32,Ideal,G,VVS1,60.2,56.0,842,4.45,4.49,2.69
1805,0.79,Premium,G,VS1,61.3,59.0,3053,5.97,5.91,3.64
8688,1.07,Ideal,H,VS2,62.1,57.0,4458,6.53,6.49,4.04
3073,0.9,Premium,D,SI2,58.1,60.0,3312,6.26,6.24,3.63
25563,2.35,Premium,J,VS1,60.7,60.0,14399,8.64,8.6,5.23
12023,1.11,Ideal,I,VS1,63.0,56.0,5152,6.61,6.57,4.15
36026,0.36,Good,E,VVS1,58.2,56.0,923,4.68,4.74,2.74
28809,0.3,Good,F,VVS1,61.1,61.0,682,4.29,4.32,2.63
45925,0.53,Ideal,G,VS1,61.8,55.0,1721,5.17,5.22,3.21
48039,0.79,Premium,J,SI1,58.8,62.0,1924,6.03,6.01,3.54
23032,0.33,Premium,D,SI2,61.6,59.0,631,4.42,4.41,2.72
18611,1.36,Premium,I,VS1,62.0,59.0,7592,7.1,7.06,4.39
6679,1.03,Very Good,H,SI2,60.9,57.0,4101,6.5,6.58,3.98
41523,0.42,Premium,G,VVS1,59.8,58.0,1235,4.88,4.85,2.91
29741,0.32,Ideal,H,VVS1,61.6,54.0,708,4.42,4.45,2.73
48711,0.56,Ideal,E,VS1,61.8,56.0,2010,5.28,5.33,3.28
39328,0.34,Premium,G,VVS1,59.0,62.0,1071,4.6,4.56,2.7
47758,0.5,Very Good,D,VS1,59.8,58.0,1893,5.12,5.14,3.07
21758,3.11,Fair,J,I1,65.9,57.0,9823,9.15,9.02,5.98
49129,0.56,Ideal,D,VS2,60.9,56.0,2066,5.35,5.32,3.25
35259,0.3,Ideal,E,VVS1,60.6,57.0,895,4.33,4.35,2.63
35081,0.37,Ideal,E,VS1,61.6,54.7,886,4.61,4.63,2.85
44614,0.53,Ideal,G,VS2,61.6,56.0,1607,5.24,5.19,3.21
22594,1.6,Very Good,D,SI2,60.6,58.0,10646,7.55,7.61,4.59
4398,0.31,Ideal,D,SI1,62.1,56.0,571,4.33,4.37,2.7
21121,1.54,Very Good,J,VS1,63.5,57.0,9285,7.27,7.37,4.65
31091,0.33,Very Good,G,VVS2,62.8,57.0,752,4.39,4.47,2.78
38955,0.31,Good,H,VS2,63.5,57.0,489,4.32,4.34,2.75
50153,0.71,Premium,G,SI1,58.5,58.0,2215,5.87,5.82,3.42
5788,1.01,Premium,F,SI2,61.1,57.0,3903,6.48,6.44,3.95
33054,0.3,Ideal,F,VVS1,61.9,58.0,814,4.26,4.3,2.65
20161,1.31,Ideal,H,VS1,62.5,56.0,8617,6.95,7.03,4.37
52874,0.71,Ideal,I,VS2,61.6,57.0,2582,5.7,5.62,3.49
38179,0.41,Ideal,D,SI1,61.6,55.0,1015,4.8,4.78,2.95
17657,1.0,Premium,F,VS1,62.6,58.0,7114,6.37,6.4,4.0
20858,1.07,Ideal,D,VS1,61.8,57.0,9077,6.55,6.58,4.06
45589,0.52,Premium,G,VS1,62.6,59.0,1689,5.08,5.11,3.19
16526,1.05,Ideal,G,VS2,62.8,57.0,6604,6.49,6.45,4.06
35221,0.33,Ideal,D,VVS2,61.7,55.0,893,4.46,4.49,2.76
19881,1.5,Very Good,F,SI2,62.3,60.0,8431,7.29,7.34,4.56
32166,0.41,Ideal,H,SI2,61.7,56.0,787,4.8,4.77,2.95
2358,0.71,Very Good,F,VS1,62.9,55.0,3175,5.68,5.71,3.58
42658,0.5,Good,D,SI1,63.8,60.0,1333,5.0,5.03,3.2
17679,1.01,Very Good,D,VS2,63.1,60.0,7127,6.39,6.35,4.02
24729,1.71,Good,H,VS2,63.7,58.0,13068,7.57,7.54,4.81
41017,0.4,Ideal,F,VVS1,62.2,56.0,1186,4.71,4.74,2.94
27039,0.32,Very Good,G,VS1,61.7,55.0,645,4.37,4.41,2.71
42462,0.5,Very Good,E,SI1,60.7,61.0,1316,5.09,5.12,3.1
5089,1.02,Fair,F,SI2,65.5,59.0,3754,6.27,6.24,4.1
7505,1.05,Very Good,G,SI2,62.5,60.0,4241,6.45,6.5,4.05
25078,1.36,Premium,E,VVS2,59.8,59.0,13598,7.12,7.2,4.38
43818,0.51,Ideal,E,SI1,62.3,56.0,1443,5.15,5.12,3.2
13415,1.2,Premium,H,SI2,62.4,57.0,5510,6.83,6.75,4.24
920,0.72,Ideal,F,VS1,62.0,56.0,2879,5.76,5.73,3.56
48246,0.49,Very Good,F,VVS1,62.2,56.0,1952,5.04,5.08,3.14
28172,0.36,Premium,H,SI1,61.3,57.0,665,4.65,4.61,2.84
51123,0.7,Premium,D,SI1,62.1,62.0,2339,5.63,5.58,3.48
1940,0.9,Premium,E,SI2,59.5,61.0,3084,6.3,6.24,3.73
39546,0.32,Premium,G,VVS1,58.1,59.0,1080,4.53,4.49,2.62
26162,2.0,Very Good,G,SI2,63.5,55.0,15485,8.03,7.93,5.07
2105,0.9,Good,F,SI2,63.3,57.0,3116,6.08,6.14,3.87
15816,1.18,Ideal,E,SI2,60.9,57.0,6328,6.86,6.89,4.19
33168,0.36,Ideal,E,VS1,61.8,56.0,817,4.55,4.58,2.82
33729,0.37,Ideal,F,VVS2,60.0,59.0,839,4.64,4.66,2.79
35944,0.3,Ideal,F,SI1,62.4,56.0,475,4.27,4.32,2.68
30328,0.36,Premium,F,VS2,60.5,60.0,726,4.55,4.61,2.77
48792,0.8,Premium,J,SI2,60.2,59.0,2022,6.07,5.95,3.62
19714,1.51,Ideal,H,SI1,61.9,57.0,8287,7.37,7.32,4.55
48906,0.62,Very Good,F,VS2,59.8,58.0,2041,5.55,5.59,3.33
49459,0.71,Premium,H,SI1,62.4,59.0,2112,5.65,5.6,3.51
22029,0.32,Good,G,VS1,57.0,62.0,628,4.51,4.54,2.58
16072,1.02,Ideal,G,VS2,62.8,57.0,6418,6.36,6.45,4.02
39107,0.41,Premium,H,VS1,62.0,56.0,1061,4.78,4.74,2.95
18182,1.14,Ideal,G,VS2,62.0,55.0,7371,6.68,6.77,4.17
41794,0.52,Premium,G,SI1,60.6,61.0,1249,5.19,5.17,3.14
8308,1.0,Good,H,SI1,62.7,60.0,4389,6.24,6.3,3.93
43773,0.56,Very Good,E,SI1,60.2,57.0,1440,5.36,5.4,3.24
17067,0.32,Premium,G,SI1,61.0,61.0,612,4.41,4.38,2.68
37736,0.37,Ideal,D,VVS2,61.6,54.0,997,4.61,4.64,2.85
4958,0.9,Good,G,SI1,63.2,59.0,3734,6.05,6.1,3.84
13311,1.01,Ideal,G,SI1,61.1,58.0,5497,6.43,6.49,3.95
4982,1.03,Ideal,J,SI1,62.3,57.0,3738,6.48,6.43,4.02
52242,0.78,Premium,G,SI2,60.6,58.0,2486,6.02,5.99,3.64
29405,0.33,Ideal,G,VS1,61.6,57.0,699,4.46,4.49,2.75
33305,0.33,Ideal,H,VVS2,61.3,56.0,827,4.43,4.47,2.73
12853,1.09,Ideal,H,SI1,61.9,57.0,5358,6.63,6.58,4.09
34796,0.5,Good,J,SI1,63.3,60.0,877,4.97,4.99,3.15
9529,1.01,Ideal,J,VS2,61.3,56.0,4617,6.46,6.5,3.97
20606,1.0,Very Good,E,VVS2,63.5,55.0,8910,6.36,6.31,4.02
41112,0.59,Premium,E,SI2,60.8,56.0,1195,5.43,5.4,3.29
48862,0.7,Very Good,H,SI2,59.9,57.0,2034,5.74,5.77,3.45
3379,0.31,Premium,I,SI1,61.3,58.0,408,4.34,4.37,2.67
35140,0.39,Premium,E,VS2,62.5,60.0,889,4.64,4.67,2.91
2319,0.85,Ideal,E,SI1,61.8,54.0,3167,6.1,6.14,3.78
52326,0.73,Ideal,I,VVS2,62.3,55.0,2496,5.76,5.77,3.59
9504,1.09,Ideal,J,SI1,60.7,58.0,4611,6.64,6.68,4.04
19680,0.4,Ideal,D,SI2,61.3,56.0,622,4.72,4.77,2.91
29068,0.4,Very Good,E,SI1,61.7,60.0,687,4.68,4.72,2.9
8,0.22,Fair,E,VS2,65.1,61.0,337,3.87,3.78,2.49
34633,0.31,Premium,E,VS2,60.3,58.0,872,4.42,4.37,2.65
8982,1.19,Ideal,J,SI2,61.7,56.0,4508,6.8,6.85,4.21
50316,1.06,Fair,I,I1,64.5,57.0,2239,6.47,6.33,4.13
48801,0.61,Very Good,E,VS1,59.6,63.0,2025,5.44,5.57,3.28
5217,0.82,Ideal,H,VVS2,61.4,56.0,3781,6.01,6.05,3.71
50678,1.01,Fair,G,I1,64.5,56.0,2287,6.32,6.26,4.06
29467,0.32,Ideal,E,VS2,61.4,56.0,702,4.4,4.43,2.71
